Li20#,Phospholipid,ionizable_lipid,lipid-PEG,surface_DNA,%_phospholipid,%_chol.,%_ionizable_lipid,%_lipid-PEG,EE_(0/0),size_(nm),Sd_(nm)
101,1,1,3,1,10,35,50,5,82,159,79
102,1,2,1,1,24,25,50,1,84,279,107
103,1,1,3,1,20,25,50,5,67,227,81
104,1,2,1,1,14,35,50,1,85,221,105
105,1,2,3,1,12.5,35,50,2.5,86,203,85
106,1,1,1,1,22.5,25,50,2.5,74,246,91
107,1,1,2,1,12.5,35,50,2.5,78,195,87
108,1,2,2,1,22.5,25,50,2.5,83,190,91
109,1,1,1,1,10,35,50,5,56,236,71
1010,1,2,3,1,24,25,50,1,88,277,91
1011,1,1,2,1,22.5,25,50,2.5,71,222,71
1012,1,2,2,1,12.5,35,50,2.5,87,178,83
1013,1,2,2,1,20,25,50,5,85,231,81
1014,1,1,2,1,14,35,50,1,79,227,60
1015,1,2,2,1,10,35,50,5,83,187,84
1016,1,1,2,1,24,25,50,1,71,229,69
1017,1,2,1,1,24,25,50,1,83,209,81
1018,1,1,3,1,10,35,50,5,80,144,79
201,2,1,2,2,12.5,35,50,2.5,100,194,80
202,2,1,2,2,12.5,35,50,2.5,103,197,73
203,3,1,1,2,22.5,25,50,2.5,77,220,77
204,3,1,1,2,22.5,25,50,2.5,84,217,76
205,1,1,2,1,1.5,45,50,3.5,95,202,73
206,1,1,2,1,1.5,45,50,3.5,97,184,76
207,3,1,2,2,21.5,25,50,3.5,94,194,66
208,2,1,1,1,22.5,25,50,2.5,93,274,82
209,3,1,2,2,13.5,35,50,1.5,98,218,78
2010,2,1,2,2,23.5,25,50,1.5,101,317,94
2011,3,1,1,1,12.5,35,50,2.5,86,232,75
2012,1,1,1,2,1.5,45,50,3.5,91,233,79
2013,3,1,2,1,3.5,45,50,1.5,98,194,71
2014,1,1,2,2,22.5,25,50,2.5,99,225,82
2015,2,1,1,1,3.5,45,50,1.5,92,239,82
2016,2,1,1,1,11.5,35,50,3.5,93,242,77
2017,2,1,1,2,2.5,45,50,2.5,75,276,70
2018,3,1,1,1,23.5,25,50,1.5,72,303,70
2019,3,1,1,2,3.5,45,50,1.5,73,229,93
2020,1,1,1,2,12.5,35,50,2.5,76,231,89
2021,1,1,2,2,11.5,35,50,3.5,79,210,76
2022,2,1,2,1,2.5,45,50,2.5,79,229,79
2023,1,1,1,1,21.5,25,50,3.5,75,220,76
2024,2,1,1,2,13.5,35,50,1.5,80,239,81
2025,1,1,2,1,23.5,25,50,1.5,80,240,95
2026,2,1,2,2,1.5,45,50,3.5,76,237,83
2027,3,1,1,1,1.5,45,50,3.5,74,266,91
2028,2,1,2,1,11.5,35,50,3.5,72,243,83
2029,3,1,1,2,11.5,35,50,3.5,72,270,84
2030,1,1,1,1,2.5,45,50,2.5,76,295,84
2031,3,1,2,1,22.5,25,50,2.5,74,223,79
2032,1,1,1,1,13.5,35,50,1.5,77,277,90
2033,1,1,2,2,3.5,45,50,1.5,79,187,72
2034,3,1,2,2,2.5,45,50,2.5,76,214,81
2035,2,1,1,2,21.5,25,50,3.5,79,206,72
2036,1,1,2,1,12.5,35,50,2.5,80,232,73
2037,1,1,1,2,23.5,25,50,1.5,81,203,76
301,1,1,2,2,2.5,45,50,2.5,85,212,88
302,1,1,2,2,1.5,45,50,3.5,90,167,106
303,2,1,2,2,3.5,45,50,1.5,86,147,99
304,3,1,2,2,3.5,45,50,1.5,87,102,62